route_id,mode,operator,route_name,region,frequency,n_stops,origin,destination,in_connection_model,not_in_model_because,counts_for_connectivity,bikes_carried,rider_note
air:PCA18,air,Pacific Coastal Airlines,Nanaimo – Kelowna,Interior,daily,2,Nanaimo,Kelowna,TRUE,,FALSE,"yes, with conditions",
air:PCA19,air,Pacific Coastal Airlines,Comox – Kelowna,Interior,daily,2,Comox,Kelowna,TRUE,,FALSE,"yes, with conditions",
air:PCA20,air,Pacific Coastal Airlines,Kelowna – Prince George,Northern Interior,,2,Kelowna,Prince George,TRUE,,FALSE,"yes, with conditions",
air:PCA21,air,Pacific Coastal Airlines,Kelowna – Cranbrook,Kootenay,,2,Kelowna,Cranbrook,TRUE,,FALSE,"yes, with conditions",
air:PCA22,air,Pacific Coastal Airlines,Vancouver – Trail,Kootenay,,2,Vancouver,Trail,TRUE,,FALSE,"yes, with conditions",
air:PCA23,air,Pacific Coastal Airlines,Vancouver – Penticton,Interior,daily,2,Vancouver,Penticton,TRUE,,FALSE,"yes, with conditions",
air:SA01,air,Seair Seaplanes,Vancouver Harbour – Victoria Harbour,Vancouver Island,,2,Vancouver (Coal Harbour),Victoria,FALSE,we could not confirm the operator carries bikes,FALSE,unknown,
air:SA02,air,Seair Seaplanes,Vancouver Harbour – Nanaimo,Vancouver Island,daily,2,Vancouver (Coal Harbour),Nanaimo,FALSE,we could not confirm the operator carries bikes,FALSE,unknown,
air:SA03,air,Seair Seaplanes,Richmond (YVR) – Nanaimo,Vancouver Island,daily,2,Richmond,Nanaimo,FALSE,we could not confirm the operator carries bikes,FALSE,unknown,
air:SA04,air,Seair Seaplanes,Vancouver Harbour – Salt Spring (Ganges),Gulf Islands,,2,Vancouver (Coal Harbour),Salt Spring Island,FALSE,we could not confirm the operator carries bikes,FALSE,unknown,
air:SA05,air,Seair Seaplanes,Richmond (YVR) – Salt Spring (Ganges),Gulf Islands,daily,2,Richmond,Salt Spring Island,FALSE,we could not confirm the operator carries bikes,FALSE,unknown,
air:SA06,air,Seair Seaplanes,Richmond (YVR) – Pender Island,Gulf Islands,,2,Richmond,Pender Island,FALSE,we could not confirm the operator carries bikes,FALSE,unknown,
air:SA07,air,Seair Seaplanes,Richmond (YVR) – Thetis Island,Gulf Islands,,2,Richmond,Thetis Island,FALSE,we could not confirm the operator carries bikes,FALSE,unknown,
air:SA08,air,Seair Seaplanes,Richmond (YVR) – Saturna Island,Gulf Islands,daily,2,Richmond,Saturna Island,FALSE,we could not confirm the operator carries bikes,FALSE,unknown,
air:SA09,air,Seair Seaplanes,Richmond (YVR) – Mayne Island,Gulf Islands,,2,Richmond,Mayne Island,FALSE,we could not confirm the operator carries bikes,FALSE,unknown,
air:SA10,air,Seair Seaplanes,Richmond (YVR) – Galiano Island,Gulf Islands,,2,Richmond,Galiano Island,FALSE,we could not confirm the operator carries bikes,FALSE,unknown,
air:SS01,air,Saltspring Air,Vancouver Harbour – Salt Spring (Ganges),Gulf Islands,,2,Vancouver (Coal Harbour),Salt Spring Island,FALSE,we could not confirm the operator carries bikes,FALSE,unknown,
air:SS02,air,Saltspring Air,Richmond (YVR) – Salt Spring (Ganges),Gulf Islands,,2,Richmond,Salt Spring Island,FALSE,we could not confirm the operator carries bikes,FALSE,unknown,
air:SS03,air,Saltspring Air,Salt Spring (Ganges) – Maple Bay,Gulf Islands,,2,Salt Spring Island,Maple Bay,FALSE,we could not confirm the operator carries bikes,FALSE,unknown,
air:SS04,air,Saltspring Air,Richmond (YVR) – Mayne Island,Gulf Islands,,2,Richmond,Mayne Island,FALSE,we could not confirm the operator carries bikes,FALSE,unknown,
air:SS05,air,Saltspring Air,Richmond (YVR) – North Pender Island,Gulf Islands,,2,Richmond,North Pender Island,FALSE,we could not confirm the operator carries bikes,FALSE,unknown,
air:SS06,air,Saltspring Air,Richmond (YVR) – South Pender Island,Gulf Islands,,2,Richmond,South Pender Island,FALSE,we could not confirm the operator carries bikes,FALSE,unknown,
air:SS07,air,Saltspring Air,Richmond (YVR) – Galiano Island,Gulf Islands,,2,Richmond,Galiano Island,FALSE,we could not confirm the operator carries bikes,FALSE,unknown,
air:SS08,air,Saltspring Air,Richmond (YVR) – Saturna Island,Gulf Islands,,2,Richmond,Saturna Island,FALSE,we could not confirm the operator carries bikes,FALSE,unknown,
air:SS09,air,Saltspring Air,Richmond (YVR) – Thetis Island,Gulf Islands,,2,Richmond,Thetis Island,FALSE,we could not confirm the operator carries bikes,FALSE,unknown,
air:WS01,air,Wilderness Seaplanes,Port Hardy – Bella Bella,Central Coast,,2,Port Hardy,Bella Bella,FALSE,we could not confirm the operator carries bikes,FALSE,unknown,
air:WS02,air,Wilderness Seaplanes,Bella Bella – Klemtu,Central Coast,,2,Bella Bella,Klemtu,FALSE,we could not confirm the operator carries bikes,FALSE,unknown,
air:WS03,air,Wilderness Seaplanes,Port Hardy – Bella Coola,Central Coast,,2,Port Hardy,Bella Coola,FALSE,we could not confirm the operator carries bikes,FALSE,unknown,
air:WS04,air,Wilderness Seaplanes,Bella Bella – Ocean Falls,Central Coast,on-demand,2,Bella Bella,Ocean Falls,FALSE,"on demand only, not a scheduled service",FALSE,unknown,
air:WS05,air,Wilderness Seaplanes,Port Hardy – Rivers Inlet,Central Coast,,2,Port Hardy,Rivers Inlet,FALSE,we could not confirm the operator carries bikes,FALSE,unknown,
air:ac-castlegar,air,Air Canada,Vancouver (YVR) – Castlegar (YCG),air,,2,Vancouver,Castlegar,TRUE,,FALSE,"yes, with conditions",
air:ac-ycd,air,Air Canada,Vancouver (YVR) – Nanaimo (YCD),air,,2,Vancouver,Nanaimo,TRUE,,FALSE,"yes, with conditions",
air:ac-yka,air,Air Canada,Vancouver (YVR) – Kamloops (YKA),air,,2,Vancouver,Kamloops,TRUE,,FALSE,"yes, with conditions",
air:ac-ylw,air,Air Canada,Vancouver (YVR) – Kelowna (YLW),air,,2,Vancouver,Kelowna,TRUE,,FALSE,"yes, with conditions",
air:ac-ypr,air,Air Canada,Vancouver (YVR) – Prince Rupert (YPR),air,,2,Vancouver,Prince Rupert,TRUE,,FALSE,"yes, with conditions",
air:ac-yqq,air,Air Canada,Vancouver (YVR) – Comox (YQQ),air,,2,Vancouver,Comox,TRUE,,FALSE,"yes, with conditions",
air:ac-yxc,air,Air Canada,Vancouver (YVR) – Cranbrook (YXC),air,,2,Vancouver,Cranbrook,TRUE,,FALSE,"yes, with conditions",
air:ac-yxj,air,Air Canada,Vancouver (YVR) – Fort St. John (YXJ),air,,2,Vancouver,Fort St. John,TRUE,,FALSE,"yes, with conditions",
air:ac-yxs,air,Air Canada,Vancouver (YVR) – Prince George (YXS),air,,2,Vancouver,Prince George,TRUE,,FALSE,"yes, with conditions",
air:ac-yxt,air,Air Canada,Vancouver (YVR) – Terrace (YXT),air,,2,Vancouver,Terrace,TRUE,,FALSE,"yes, with conditions",
air:ac-yyd,air,Air Canada,Vancouver (YVR) – Smithers (YYD),air,,2,Vancouver,Smithers,TRUE,,FALSE,"yes, with conditions",
air:ac-yyj,air,Air Canada,Vancouver (YVR) – Victoria (YYJ),air,,2,Vancouver,Victoria,TRUE,,FALSE,"yes, with conditions",
air:ac-yzp,air,Air Canada,Vancouver (YVR) – Sandspit (YZP),air,,2,Vancouver,Sandspit,TRUE,,FALSE,"yes, with conditions",
air:alaska,air,Alaska Airlines,Vancouver (YVR) – Seattle (SEA),cross-border,daily,2,Vancouver,Seattle,TRUE,,FALSE,"yes, with conditions",
air:flair-ylw,air,Flair Airlines,Kelowna (YLW) – Calgary (YYC),air,,2,Kelowna,Calgary,TRUE,,FALSE,"yes, with conditions",
air:flair-yvr,air,Flair Airlines,Vancouver (YVR) – Calgary (YYC),air,,2,Vancouver,Calgary,TRUE,,FALSE,"yes, with conditions",
air:flair-yxx,air,Flair Airlines,Abbotsford (YXX) – Calgary (YYC),air,,2,Abbotsford,Calgary,TRUE,,FALSE,"yes, with conditions",
air:flair-yyj,air,Flair Airlines,Victoria (YYJ) – Calgary (YYC),air,,2,Victoria,Calgary,TRUE,,FALSE,"yes, with conditions",
air:wj-ycd,air,WestJet,Vancouver (YVR) – Nanaimo (YCD),air,,2,Vancouver,Nanaimo,TRUE,,FALSE,"yes, with conditions",
air:wj-ylw,air,WestJet,Vancouver (YVR) – Kelowna (YLW),air,,2,Vancouver,Kelowna,TRUE,,FALSE,"yes, with conditions",
air:wj-yxc,air,WestJet,Vancouver (YVR) – Cranbrook (YXC),air,,2,Vancouver,Cranbrook,TRUE,,FALSE,"yes, with conditions",
air:wj-yyj,air,WestJet,Vancouver (YVR) – Victoria (YYJ),air,,2,Vancouver,Victoria,TRUE,,FALSE,"yes, with conditions",
bus:1,bus,Ebus,Vancouver – Kelowna,Southern Interior,daily,8,Vancouver,Kelowna,TRUE,,TRUE,"yes, with conditions",
bus:10,bus,Whistler Shuttle,Vancouver – Whistler,Sea-to-Sky,,4,Vancouver,Whistler,TRUE,,TRUE,"yes, with conditions",Door-to-door shuttle; the downtown Vancouver pickup is suspended for summer 2026.
bus:11,bus,West Coast Trail Express,West Coast Trail route,Vancouver Island,seasonal-varies,10,Victoria,Bamfield,TRUE,,FALSE,no,Runs May 1 to September 30.
bus:12,bus,West Coast Trail Express,Juan de Fuca Trail route,Vancouver Island,seasonal-varies,7,Victoria,Nanaimo,TRUE,,FALSE,no,Runs May 1 to September 30.
bus:13,bus,Epic Rides,Vancouver – Whistler,Sea-to-Sky,seasonal-varies,2,Vancouver,Whistler,TRUE,,TRUE,"yes, with conditions","The only direct, non-stop run between Vancouver and Whistler. Bikes ride free and can go boxed or unboxed, spring through fall only (no bikes November to April)."
bus:14,bus,Sunshine Coast Shuttle,Powell River trailhead charters,Sunshine Coast,,2,Powell River,Remote trailheads,FALSE,"charter only, not a scheduled service",FALSE,unknown,"On-demand trailhead shuttle, not a fixed-stop route; book ahead."
bus:15,bus,Mountain Man Mike's,Kaslo – Vancouver,West Kootenay,limited,18,Kaslo,Vancouver,TRUE,,TRUE,"yes, with conditions",Runs once a week; hop-on hop-off along the way.
bus:16,bus,Mountain Man Mike's,Kaslo – Calgary,West Kootenay,limited,8,Kaslo,Sparwood,TRUE,,TRUE,"yes, with conditions","Runs once a week, continuing east into Alberta."
bus:17,bus,Silver City Stagelines,Trail – Kelowna (Hwy 3/33),West Kootenay,daily,8,Trail,Kelowna,TRUE,,FALSE,no,
bus:2,bus,Ebus,Vancouver – Kamloops,Southern Interior,daily,7,Vancouver,Kamloops,TRUE,,TRUE,"yes, with conditions",
bus:3,bus,Ebus,Kamloops – Kelowna (via Salmon Arm),Southern Interior,daily,9,Kamloops,Kelowna,TRUE,,TRUE,"yes, with conditions",
bus:4,bus,Ebus,Kelowna/Salmon Arm – Golden,Southern Interior,daily,9,Kelowna,Golden,TRUE,,TRUE,"yes, with conditions",
bus:5,bus,Ebus,Kamloops – Prince George,Cariboo,limited,11,Kamloops,Prince George,TRUE,,TRUE,"yes, with conditions",Runs Wed/Fri/Sun toward Prince George and Mon/Thu/Sat toward Kamloops; no service on Tuesdays.
bus:6,bus,Squamish Connector,Squamish – Vancouver,Sea-to-Sky,seasonal-varies,7,Squamish,Vancouver,TRUE,,TRUE,"yes, with conditions",Bikes welcome May to September; check schedule outside that window.
bus:7,bus,Rider Express,Vancouver – Calgary,Southern Interior,daily,14,Vancouver,Field,TRUE,,TRUE,"yes, with conditions",
bus:8,bus,YVR Skylynx,Vancouver – Whistler,Sea-to-Sky,seasonal-varies,5,Vancouver,Whistler,TRUE,,TRUE,"yes, with conditions",Summer service April 18 to November 21; Squamish is a reservation-only stop.
bus:9,bus,Sunshine Coast Connector,Langdale – Powell River,Sunshine Coast,daily,11,Langdale,Powell River,TRUE,,TRUE,"yes, with conditions",Includes the Earls Cove–Saltery Bay ferry leg.
bus:bcfc-vic-van,bus,Wilson's Transportation (BC Connector),BC Ferries Connector — Vancouver / Victoria,Major,daily,4,Vancouver,Victoria,TRUE,,TRUE,"yes, with conditions",⛴️ Downtown to downtown via the Tsawwassen–Swartz Bay ferry crossing.
bus:bcn-16w,bus,BC Bus North (Tahltan NST Busing Ltd.),Prince George – Prince Rupert (Hwy 16 West),north,limited,16,Prince George,Prince Rupert,TRUE,,TRUE,"yes, with conditions","Twice a week: Monday and Thursday westbound, Tuesday and Friday eastbound."
bus:cvx-66,bus,BC Transit,66 CVX Cowichan-Victoria Express,Vancouver Island,daily,3,Duncan,Victoria,TRUE,,TRUE,yes,
bus:ebus-calgary,bus,Ebus,Vancouver – Calgary (Hwy 1),rockies,daily,17,Vancouver Pacific Central,Calgary AB,TRUE,,TRUE,"yes, with conditions","Runs the same Highway 1 corridor as Rider Express, so compare schedules and fares."
bus:flixbus-seattle,bus,FlixBus (operated by MTRWestern),Vancouver – Seattle via Bellingham & Everett,cross-border,daily,5,Vancouver Waterfront Station,Seattle WA,TRUE,,TRUE,"yes, with conditions",Seven trips a day via Bellingham and Everett.
bus:fvx-66,bus,BC Transit,66 Fraser Valley Express (FVX),Metro Vancouver / Fraser Valley,daily,4,Chilliwack,Burnaby,TRUE,,TRUE,yes,Meets SkyTrain at Lougheed Town Centre and TransLink buses at Carvolth Exchange.
bus:il-island,bus,Island Link,Island Express Bus,Vancouver Island,,3,Nanaimo,Campbell River,TRUE,,FALSE,no,
bus:il-tofino,bus,Island Link,Tofino Express Bus,Vancouver Island,,4,Nanaimo,Tofino,TRUE,,FALSE,no,
bus:il-victoria,bus,Island Link,Victoria Express Bus,Vancouver Island,,2,Victoria,Nanaimo,TRUE,,FALSE,no,
bus:mmm-calgary,bus,Mountain Man Mike's,Kaslo – Cranbrook – Calgary (weekly),kootenay,limited,14,Kaslo,Calgary AB,TRUE,,TRUE,"yes, with conditions","The only ground service between Cranbrook and Calgary; weekly, eastbound Monday and westbound Tuesday."
bus:quick-seattle,bus,Quick Shuttle (Quick Coach Lines / TRAXX),Vancouver – Seattle (SeaTac),cross-border,seasonal-varies,8,Vancouver Waterfront Station,Seattle SeaTac Airport WA,TRUE,,TRUE,"yes, with conditions",Runs year-round; winter service drops to Friday–Monday only.
bus:rider-calgary,bus,Rider Express,Vancouver – Calgary (Hwy 1),rockies,daily,18,Vancouver,Calgary AB,TRUE,,TRUE,"yes, with conditions",
carpool:pop-hwy4,carpool,Poparide,Hwy 4 rideshare (Nanaimo - Port Alberni - Ucluelet - Tofino),Vancouver Island,on-demand,4,Nanaimo,Tofino,TRUE,,TRUE,"yes, with conditions",Only book rides that say they permit bicycles (bike icon on the listing).
carpool:pop-island1,carpool,Poparide,Hwy 1 rideshare (Victoria - Duncan - Nanaimo),Vancouver Island,on-demand,3,Victoria,Nanaimo,TRUE,,TRUE,"yes, with conditions",Only book rides that say they permit bicycles (bike icon on the listing).
carpool:pop-island19,carpool,Poparide,Island Hwy rideshare (Nanaimo - Courtenay),Vancouver Island,on-demand,2,Nanaimo,Courtenay,TRUE,,TRUE,"yes, with conditions",Only book rides that say they permit bicycles (bike icon on the listing).
carpool:pop-sea2sky,carpool,Poparide,Sea-to-Sky rideshare (Vancouver - Squamish - Whistler),Sea-to-Sky,on-demand,3,Vancouver,Whistler,TRUE,,TRUE,"yes, with conditions",Only book rides that say they permit bicycles (bike icon on the listing).
ferry:1,ferry,BC Ferries,Tsawwassen – Swartz Bay,Major,daily,2,Tsawwassen (Metro Vancouver),Victoria (Vancouver Island),TRUE,,TRUE,yes,
ferry:10,ferry,BC Ferries,Port Hardy – Prince Rupert (Inside Passage),North,limited,2,Port Hardy (Vancouver Island),Prince Rupert (North Coast),TRUE,,TRUE,yes,"Sails alternate days, roughly 3–4 sailings a week each way in summer."
ferry:11,ferry,BC Ferries,Prince Rupert – Skidegate (Haida Gwaii),North,limited,2,Prince Rupert (North Coast),Skidegate (Graham Island),TRUE,,TRUE,yes,About 5–6 sailings a week; no Tuesday sailing westbound and no Sunday sailing eastbound.
ferry:12,ferry,BC Ferries,Brentwood Bay – Mill Bay,Vancouver Island,daily,2,Brentwood Bay (Vancouver Island),Mill Bay (Vancouver Island),TRUE,,TRUE,yes,"Daily, with fewer sailings on Sundays."
ferry:17,ferry,BC Ferries,Westview – Little River (Comox),Sunshine Coast,daily,2,Powell River (Sunshine Coast),Comox (Vancouver Island),TRUE,,TRUE,yes,
ferry:18,ferry,BC Ferries,Westview – Blubber Bay (Texada),Sunshine Coast,daily,2,Powell River (Sunshine Coast),Texada Island,TRUE,,TRUE,yes,
ferry:19,ferry,BC Ferries,Nanaimo Harbour – Descanso Bay (Gabriola),Gulf Islands,daily,2,Nanaimo (Vancouver Island),Gabriola Island,TRUE,,TRUE,yes,
ferry:2,ferry,BC Ferries,Horseshoe Bay – Departure Bay,Major,daily,2,West Vancouver (Metro Vancouver),Nanaimo (Vancouver Island),TRUE,,TRUE,yes,
ferry:20,ferry,BC Ferries,Chemainus – Thetis – Penelakut,Gulf Islands,daily,3,Chemainus (Vancouver Island),Penelakut Island,TRUE,,TRUE,yes,
ferry:21,ferry,BC Ferries,Buckley Bay – Denman West,Gulf Islands,daily,2,Buckley Bay (Vancouver Island),Denman Island,TRUE,,TRUE,yes,
ferry:22,ferry,BC Ferries,Gravelly Bay (Denman E) – Hornby,Gulf Islands,daily,2,Denman Island,Hornby Island,TRUE,,TRUE,yes,
ferry:23,ferry,BC Ferries,Campbell River – Quathiaski Cove (Quadra),Discovery,daily,2,Campbell River (Vancouver Island),Quadra Island,TRUE,,TRUE,yes,
ferry:24,ferry,BC Ferries,Heriot Bay (Quadra) – Whaletown (Cortes),Discovery,daily,2,Quadra Island,Cortes Island,TRUE,,TRUE,yes,
ferry:25,ferry,BC Ferries,Port McNeill – Sointula – Alert Bay,North Island,daily,3,Port McNeill (Vancouver Island),Cormorant Island,TRUE,,TRUE,yes,
ferry:26,ferry,BC Ferries,Skidegate – Alliford Bay (Haida Gwaii),North,daily,2,Graham Island,Moresby Island,TRUE,,TRUE,yes,
ferry:28,ferry,BC Ferries,Port Hardy – Bella Coola,Central Coast,seasonal-varies,5,Port Hardy (Vancouver Island),Bella Coola (Central Coast),TRUE,,TRUE,yes,"Doesn't sail every day, and not every sailing calls at every stop — check the BC Ferries schedule for your date."
ferry:28A,ferry,BC Ferries,Central Coast Connector,Central Coast,limited,4,Bella Bella (Central Coast),Bella Coola (Central Coast),TRUE,,TRUE,yes,"About one run a week: Wednesday out from Bella Coola, Thursday or Friday back from Shearwater."
ferry:3,ferry,BC Ferries,Horseshoe Bay – Langdale,Sunshine Coast,daily,2,West Vancouver (Metro Vancouver),Gibsons (Sunshine Coast),TRUE,,TRUE,yes,
ferry:30,ferry,BC Ferries,Tsawwassen – Duke Point,Major,daily,2,Tsawwassen (Metro Vancouver),Nanaimo (Vancouver Island),TRUE,,TRUE,yes,
ferry:4,ferry,BC Ferries,Fulford Harbour – Swartz Bay,Gulf Islands,daily,2,Salt Spring Island,Victoria (Vancouver Island),TRUE,,TRUE,yes,
ferry:5,ferry,BC Ferries,Swartz Bay – Southern Gulf Islands,Gulf Islands,daily,6,Victoria (Vancouver Island),Salt Spring Island,TRUE,,TRUE,yes,
ferry:6,ferry,BC Ferries,Vesuvius – Crofton,Gulf Islands,daily,2,Salt Spring Island,Crofton (Vancouver Island),TRUE,,TRUE,yes,
ferry:7,ferry,BC Ferries,Earls Cove – Saltery Bay,Sunshine Coast,daily,2,Sunshine Coast,Powell River (Sunshine Coast),TRUE,,TRUE,yes,
ferry:8,ferry,BC Ferries,Horseshoe Bay – Snug Cove (Bowen),Metro Vancouver,daily,2,West Vancouver (Metro Vancouver),Bowen Island (Metro Vancouver),TRUE,,TRUE,yes,
ferry:9,ferry,BC Ferries,Tsawwassen – Southern Gulf Islands,Gulf Islands,daily,6,Tsawwassen (Metro Vancouver),Salt Spring Island,TRUE,,TRUE,yes,"Sailing times vary a lot by routing: some trips are about 50 minutes, others run 2 to 3 hours via Swartz Bay. Check the specific sailing before you book."
ferry:HULLO,ferry,Hullo,Hullo (Nanaimo – Vancouver),Metro Vancouver / Vancouver Island,daily,2,Nanaimo,Vancouver (Coal Harbour),TRUE,,TRUE,"yes, with conditions",
ferry:NEWCASTLE,ferry,Newcastle Island Ferry Service LP,Saysutshun Newcastle Island Ferry (Maffeo Sutton Dock (Nanaimo) – Saysutshun / Newcastle Island Dock),Vancouver Island,seasonal-varies,2,Nanaimo,Nanaimo,TRUE,,TRUE,"yes, with conditions","A ten-minute hop from Maffeo Sutton Park; seasonal May–October, hourly, returns on the half hour."
ferry:seabus,ferry,TransLink (SeaBus),SeaBus,Metro Vancouver,daily,2,Vancouver,North Vancouver,TRUE,,TRUE,"yes, with conditions",Bikes ride inside the cabin; during weekday rush hours there's room for six bikes a sailing.
