listing_key,name,category,subcategory,community,region,lat,lon,tier,website,address,price_band,ownership,notability,rider_delight,indigenous_role,osm_id,origin,google_place_id,google_place_id_match_km,wow_evidence,description
002553d9d3,Fireweed Motel,Accommodation,Hotel / Motel,Smithers,Northern British Columbia,54.7822296,-127.1632137,info,https://www.fireweedmotel.com/,"1515 Main Street, Smithers, BC V0J 2N0",Budget,Buy BC (independent),0,,,n9165304286,osm,ChIJTV1XJdgLdVQRTcNC8weS-Fs,0.0,recently renovated motel situated in the heart of Smithers,"The Fireweed Motel is a recently renovated motel situated in the heart of Smithers, BC, offering clean and comfortable rooms for travelers on the move. It positions itself as a convenient stopover along the Highway 16 corridor, with grocery stores and restaurants within walking distance. The property also offers a Ski & Stay package and is pet-friendly, reflecting the outdoor-oriented character of the Bulkley Valley region."
00289a6cf4,Pizza Hut,Food & Drink,Fast Food / Chain,Surrey,"Vancouver, Coast and Mountains",49.1869381,-122.8000621,welcoming,https://www.pizzahut.ca/,10160 152 Street,Cheap eats,Global chain,,,,n3902508416,chain,ChIJG_p4V2vXhVQRKh6qd1sWnc8,0.1,,
002cf46af8,Taste of India,Food & Drink,Restaurant,Trail,Kootenay Rockies,49.096749,-117.7166906,info,https://www.tasteofindianfood.ca/,"876 Rossland Avenue, Trail, BC V1R 3N3",Casual,Buy BC (independent),1,,,w1414689894,osm,,,"one of two related restaurants in the Kootenays, with a sister location (Cuisine of India) in Castlegar","Taste of India is a full-service authentic Indian restaurant in Trail, BC offering a broad menu of tandoori specialties, curries, biryanis, and vegetarian dishes, with patio seating and a full bar featuring local beers, wines, and cocktails. The kitchen sources locally produced meats and vegetables and offers a lunch special menu. It is one of two related restaurants in the Kootenays, with a sister location (Cuisine of India) in Castlegar."
002ea6c865,G & R Ginseng Trading Ltd,Groceries,Specialty / Health Food,Richmond,"Vancouver, Coast and Mountains",49.1873787,-123.128645,info,https://grginseng.com/,"1433-8388 Capstan Way, Richmond, BC V6X 4A7",,Buy BC (independent),1,,,n10676768647,osm,,,"premium ginseng varieties, dried seafood... Traditional Chinese Medicine products","G & R Ginseng Trading Ltd (養生堂 — 'Health Preservation Hall') is a Richmond-based specialty retailer focused on premium ginseng varieties, dried seafood (abalone, sea cucumber, fish maw, scallop), bird's nest, Korean red ginseng, and a broad range of Traditional Chinese Medicine products. The store offers both in-person and online shopping with delivery, serving Metro Vancouver's Chinese-Canadian community. A touring cyclist passing through Richmond's Capstan Way shopping area could find specialty health supplements and some dry-goods groceries, though the product range skews toward high-value culinary and medicinal items rather than everyday cycling supplies."
0035ab666f,Popeyes,Food & Drink,Fast Food / Chain,Surrey,"Vancouver, Coast and Mountains",49.1990353,-122.7781068,info,https://www.popeyes.com,"16033 108 Avenue, Surrey",Cheap eats,Global chain,,,,n8407687649,chain,,,,
0036795090,Fort Street Cycle,Bike Services,Repair Shop,Victoria,Vancouver Island,48.4234821,-123.3558553,info,https://fortstreetcycle.ca,"1025 Fort Street, Victoria, BC",,Buy BC (independent),1,,,w1300653484,osm,ChIJpe3ZwY50j1QRev6cVTF4mW0,0.9,locally owned full-service bike shop... since 1992,"Fort Street Cycle is a locally owned full-service bike shop in Victoria that has been helping cyclists since 1992. They carry BMC, Cannondale, and Orbea bikes and a curated selection of components and apparel, backed by a team of qualified mechanics capable of everything from minor adjustments to full frame-up rebuilds. A touring cyclist arriving with a mechanical will find a shop with genuine depth — multiple service tiers, suspension work, wheel building, and drivetrain overhaul all on the menu."
003c880857,Scotch Creek Market,Groceries,Grocery Store,Scotch Creek,Thompson Okanagan,50.9122508,-119.4579401,info,https://www.facebook.com/scotchcreekmarket/,"3877 Squilax-Anglemont Road, Scotch Creek",,Buy BC (independent),0,,,w738782740,osm,ChIJAQAAAMAaf1MRryrUV4OGtmE,0.0,,Scotch Creek Market is a supermarket serving the Scotch Creek community on Squilax-Anglemont Road. It functions as a standard grocery stop for local residents and travelers in the region.
003d943400,BC Liquor,Groceries,Liquor Store,Sooke,Vancouver Island,48.3792492,-123.721294,info,https://www.bcliquorstores.com,6660 Sooke Road,,Buy BC (independent),,,,n4358513688,chain,,,,
00442ebf72,Town Pantry,Groceries,Convenience Store,Saanich,Vancouver Island,48.4689532,-123.3187731,info,https://www.chevron.ca/,,,Buy BC (independent),,,,w137448651,chain,,,,
004925ce56,The Raj Indian Kitchen,Food & Drink,Restaurant,Kamloops,Thompson Okanagan,50.6760276,-120.3307554,welcoming,https://www.therajindiankitchen.com/,"438 Victoria Street, Kamloops, V2C 2A7",Casual,Buy BC (independent),1,,,n12177858659,osm,ChIJZbrIDbwtflMRNCRnTPI7w04,0.6,authentic Indian restaurant in the heart of downtown Kamloops,"The Raj Indian Kitchen is an authentic Indian restaurant in the heart of downtown Kamloops, serving a wide range of traditional dishes from butter chicken and tikka masala to regional specialties, all prepared with fresh ingredients. The restaurant offers a comfortable dine-in experience alongside online ordering for pickup and phone-in takeout. A large share of the menu — including all tandoori, rice, and entree categories — is explicitly labelled gluten-free, making it a practical stop for cyclists with dietary restrictions."
004b7d74e6,Denman Island Museum & Archives,Attractions,Museum / Gallery,Denman Island,Vancouver Island,49.535329,-124.8174949,info,https://denmanmuseum.ca/,"1111 Northwest Road, Denman Island, BC V0R 1T0",Free,Nonprofit / community,1,2,,n9496772474,osm,,,Community museum of island heritage in the village activity centre.,"The Denman Island Museum & Archives preserves the layered history of Denman Island in the Salish Sea, with collections and archives spanning First Nations heritage, early settler families, logging, farming, and decades of island social movements. Located right in the village as an annex of the Denman Activity Centre, it holds extensive archival fonds from local organizations, individuals, and community publications. A touring cyclist exploring Denman Island would find it a compact window into the island's distinctive cultural identity."
004cb28d1e,Mountain Springs Motel,Accommodation,Hotel / Motel,Radium Hot Springs,Kootenay Rockies,50.6205056,-116.074179,info,https://www.mountainsprings.bc.ca/,"4870 Radium Boulevard, Radium Hot Springs, BC V0A 1M0",Budget,Buy BC (independent),1,,,w516147800,osm,ChIJxdw0aiRvelMRlNXqDNR5_HE,0.0,14-unit two-storey motel,"Mountain Springs Motel is a quiet, 14-unit two-storey motel situated in the heart of Radium Hot Springs, half a block west of Highway 93/95, with a park-like setting where Big Horn Sheep and deer regularly wander the grounds. The property ranges from standard rooms to fully-equipped one- and two-bedroom kitchen suites, and features a sundeck, gazebo, and BBQs with mountain views. Trailheads, dining, and the world-famous Radium Hot Springs pools of Kootenay National Park are all within a short walk or two-kilometre ride."
005036f028,Red Robin,Food & Drink,Restaurant,Vernon,Thompson Okanagan,50.2883134,-119.2678261,info,https://www.redrobin.com/,"5601 Anderson Way, Vernon",Casual,Global chain,,,,w558385976,chain,,,,
005816bede,Creekside Greenhouses,Groceries,Farmers' Market,Surrey,"Vancouver, Coast and Mountains",49.0310612,-122.7283642,info,https://www.creeksidegreenhouses.ca,17830 16 Avenue,,Buy BC (independent),0,,,w981482373,osm,ChIJrSGB8k7EhVQRKuvNjtY5IuI,0.0,,"Creekside Greenhouses is a plant greenhouse operation located in the Lower Mainland's Fraser Valley region, specializing in award-winning ornamental varieties sourced from European breeders. The business brings sought-after cultivars to home gardeners and patio enthusiasts in British Columbia. Their website is currently a 'coming soon' placeholder, so details about on-site retail offerings remain limited."
005a5e6ddb,Arigato Sushi,Food & Drink,Restaurant,Kamloops,Thompson Okanagan,50.6542274,-120.3765504,info,https://arigatosushi.ca/,"#70- 1395 Hillside Dr, Kamloops, BC V2E 2R7",Casual,Buy BC (independent),1,,,n1403538985,osm,,,earned a loyal local following for both lunch and dinner visits,"Arigato Sushi is a fusion Japanese restaurant in Kamloops' Aberdeen neighbourhood, known for creative sushi rolls and consistently praised service. The casual, booth-filled dining room has earned a loyal local following for both lunch and dinner visits. Takeout and catering are available, making it a flexible stop for cyclists passing through Kamloops."
005ccf0005,Isabel Creek Store,Groceries,Grocery Store,Daajing Giids,Northern British Columbia,53.2540933,-132.0697874,info,https://www.instagram.com/isabelcreekstore/,"3219 Wharf Way, Daajing Giids, V0T 1S0",,Buy BC (independent),1,,,n9008766774,osm,ChIJo9o_N-LcbFQRy_8P1k34dVg,0.0,small grocery store in Daajing Giids ... remote archipelago off BC's north coast accessible only by ferry or floatplane,"Isabel Creek Store is a small grocery store in Daajing Giids (formerly Queen Charlotte City) on Haida Gwaii, a remote archipelago off BC's north coast accessible only by ferry or floatplane. The store carries organic products, making it a notable resupply point for cyclists who have made the journey to the islands. As one of the few grocery options in this small and isolated community, it is a practical stop for any touring cyclist exploring Haida Gwaii."
006720661c,Cyqule,Bike Services,Rentals,Gabriola,Vancouver Island,49.1862351,-123.8550099,info,https://www.cyqle.ca/,375 Armson Rd. Gabriola B.C. V0R 1X1,,Buy BC (independent),1,,,n6648065154,osm,ChIJw1tpTcmgiFQRKs-8paF7N-w,0.0,one of the only dedicated bike service options on the island,"CyQle is a bicycle and e-bike sales, service, and repair shop on Gabriola Island, established in 2015 and serving as Vancouver Island's Biktrix authorized dealer since 2016. The shop handles e-bike sales, mechanical servicing, and warranty work for electric bicycles. Gabriola Island is a small Gulf Island accessible by ferry from Nanaimo, making this one of the only dedicated bike service options on the island."
007025960e,Tap & Barrel,Food & Drink,Restaurant,Surrey,"Vancouver, Coast and Mountains",49.0596594,-122.8019563,info,https://tapandbarrel.com/locations/south-surrey/,,Casual,Buy BC (chain),,,,n12229177732,chain,,,,
00720bda93,Waka Sushi,Food & Drink,Restaurant,Langley,"Vancouver, Coast and Mountains",49.1681085,-122.6675276,info,https://wakasushi.com,,Casual,Buy BC (independent),0,,,n4460450714,osm,,,,Waka Sushi is a Japanese sushi restaurant in the Lower Mainland. The business is listed in OpenStreetMap but website details could not be verified.
0078d88378,Barnston Island Ferry,Transport,Ferry,,,,,welcoming,https://www2.gov.bc.ca/gov/content/transportation/passenger-travel/water-travel/inland-ferries/barnston-island-ferry,,,Buy BC (independent),,,,,transport,,,,"Free on-demand ferry operated by Western Pacific Marine under contract to the BC Ministry of Transportation and Transit, crossing Parsons Channel on the Fraser River between Barnston Island and Port Kells in northeast Surrey. Crossing takes about 5 minutes; runs on demand roughly 6:15 am–midnight (later on weekends), with service interruptions when river traffic warrants, no reservation needed. BC's Ministry of Transportation and Transit treats all inland ferries as an extension of the provincial highway system, mandated to accommodate all legal road users, including cyclists — bikes and e-bikes both ride free and unboxed."
00815b9d02,Freshslice Pizza,Food & Drink,Fast Food / Chain,Burnaby,"Vancouver, Coast and Mountains",49.2254294,-122.993655,welcoming,https://freshslice.com,,Cheap eats,Buy BC (chain),,,,n9590609617,chain,ChIJ5_qprxp3hlQR4FGYw7cR-1k,0.0,,
0083b2f1fb,True Grain Bread,Food & Drink,Restaurant,Cowichan Bay,Vancouver Island,48.7405434293051,-123.62064681397749,info,https://www.truegrain.ca/,"1735 Cowichan Bay Rd., Cowichan Bay, BC V0R 1N0",Cheap eats,Buy BC (independent),2,,,,manual,ChIJZRyIhFtEj1QRfz2IbwTR3JE,7.7,"organic craft bakery... in the seaside village of Cowichan Bay since 2004, using 100% BC-farmed organic grain that the team stone-mills on-site","True Grain is an organic craft bakery that has been handcrafting sourdough loaves, pastries, and cookies in the seaside village of Cowichan Bay since 2004, using 100% BC-farmed organic grain that the team stone-mills on-site in the Cowichan Valley. The bakery follows a farm-to-mill-to-baker model rooted in European tradition, working with ancient and heritage grains like Einkorn, Emmer, Spelt, and Red Fife with no additives or preservatives. It has grown into a destination for bread lovers exploring Vancouver Island, with in-store pickup, local home delivery, and Canada-wide mail order available."
00847712e3,Wildernest,Accommodation,B&B / Inn,Bowen Island,"Vancouver, Coast and Mountains",49.3634363,-123.336961,info,https://www.wildernest.ca/,"690 Channelview Dr, Bowen Island, BC V0N 1G0, Canada",Upscale,Buy BC (independent),1,,,w1271899816,osm,ChIJTzsLt-FrhlQRP0D37UJ_OTg,0.0,A car is recommended to reach the property from Snug Cove,"Wildernest is a secluded vintage Airstream B&B perched on the forested slopes of Bowen Island, a 20-minute ferry ride from West Vancouver. The 1971 Airstream Landyacht 'Moonshot' sits on over an acre of land bordering the 450-hectare Bowen Island Eco Reserve, offering a rustic-luxe retreat for couples. Snug Cove with its ferry terminal and restaurants is a short distance away, though the property is reached via a short illuminated foot trail from the parking area."
0087429987,Spike's Pub,Food & Drink,Brewery / Pub,Dawson Creek,Northern British Columbia,55.7588535,-120.2277713,info,https://www.facebook.com/p/Spikes-Pub-100045808971647/,"10100 10th Street, Dawson Creek, BC V1G 3T2",Casual,Buy BC (independent),0,,,n5007773264,osm,ChIJj-qiAjiZkVMR8yD3YryGJw0,0.0,,"Spike's Pub is a pub located in Northern BC. As a local pub, it may serve as a stopping point for touring cyclists passing through a region with limited services. No further details about the establishment could be verified from available sources."
008e8febcb,Yu Xiang Yuan Restaurant,Food & Drink,Restaurant,Vancouver,"Vancouver, Coast and Mountains",49.2246588,-123.0909787,welcoming,https://yu-xiang-yuan.com/,"6591 Fraser Street, Vancouver, BC V5X3T6",Casual,Buy BC (independent),1,,,n4957714314,osm,ChIJy6MKHkB0hlQR71__2gNoykA,4.4,Chinese cuisine spot on Fraser Street in Vancouver,"Yu Xiang Yuan Restaurant is a Chinese cuisine spot on Fraser Street in Vancouver, specializing in regional dishes spanning Szechuan, Northern Chinese, and Xinjiang traditions. The menu features hand-pulled and dragging noodles, steamed dumplings, cumin lamb kabobs, and classic stir-fries like Ginger Beef and Kung Pao Chicken. Online ordering is available through their website, offering a convenient stop option for cyclists fueling up on a long urban route."
009111ae47,Prince Chinese Seafood Restaurant,Food & Drink,Restaurant,Vancouver,"Vancouver, Coast and Mountains",49.2584652,-123.0451425,welcoming,https://princeseafoodrestaurant.ca/,"2881 Grandview Hwy, Vancouver, BC V5M 2E1",Casual,Buy BC (independent),0,,,n2494631025,osm,,,full-service Chinese seafood restaurant on Grandview Highway in East Vancouver,"Prince Chinese Seafood Restaurant (王子海鮮酒家) is a full-service Chinese seafood restaurant on Grandview Highway in East Vancouver, offering dim sum, dinner service, and banquet facilities. The restaurant operates in a smoke-free indoor environment with no outdoor seating. It sits along a major east-west arterial route and could serve as a meal stop for cyclists, though no cycling-specific amenities have been confirmed."
0096c67341,Peachland Museum,Attractions,Museum / Gallery,Peachland,Thompson Okanagan,49.7720548,-119.7385094,info,https://peachlandhistory.ca/,"5890 Beach Avenue, Peachland, V0H 1X7",Free,Nonprofit / community,2,2,,w426481424,osm,ChIJu5rknQJzglQRPm8IYzDBrUQ,0.0,"Museum in a unique octagonal 1910 church, BC Heritage site since 1981, with a KVR scale model; heritage-museum band.","Housed in a unique 8-sided former Baptist Church built by volunteers in 1910, the Peachland Museum has served the community since 1980 and was declared an official British Columbia Heritage site in 1981. Hundreds of historical artifacts, photographs, newspapers, and documents offer a glimpse into Peachland's pioneer history. The upper floor features a scale model of the Kettle Valley Railway as it existed between 1955 and 1965, which would be of particular interest to cyclists riding the KVR trail."
00a0560db9,FreshCo,Groceries,Grocery Store,Chilliwack,"Vancouver, Coast and Mountains",49.1656717,-121.9562846,info,https://www.freshco.ca/,,,Buy Canadian,,,,n10131625717,chain,,,,
00a2d6ae1e,Kam Tou Seafood Restaurant,Food & Drink,Restaurant,Richmond,"Vancouver, Coast and Mountains",49.1856018,-123.130556,welcoming,https://kamtourestaurant.ca/,"779 Sexsmith Rd Unit 1298, Richmond, BC V6X 3Z9",Casual,Buy BC (independent),1,,,n5994415246,osm,,,specializing in dim sum and seafood dishes such as steamed scallop dumplings and traditional dry-fried beef ho fun,"Kam Tou Seafood Restaurant serves authentic Chinese cuisine in Richmond's Sexsmith Road area, specializing in dim sum and seafood dishes such as steamed scallop dumplings and traditional dry-fried beef ho fun. The restaurant offers online ordering through its own website for those wanting takeout. It operates within a commercial unit, making it a convenient stop for cyclists passing through Richmond's busy Brighouse area."
00a559aa17,C-Lovers,Food & Drink,Restaurant,Abbotsford,"Vancouver, Coast and Mountains",49.0522443,-122.325161,welcoming,https://c-lovers.com/locations/abbotsford,"7 - 32451 South Fraser Way, Abbotsford, BC",Cheap eats,Buy BC (independent),1,,,n2976390737,osm,,,BC-born fish and chips chain founded in 1984... Ocean Wise partner,"C-Lovers is a BC-born fish and chips chain founded in 1984, serving hand-battered halibut, haddock, cod, salmon, and prawns alongside hand-cut Kennebec potato chips in a casual, family-friendly dine-in setting. The Abbotsford location is an Ocean Wise partner, meaning its seafood is certified as responsibly and sustainably sourced. Both dine-in and takeout are available, making it a practical stop for a hungry cyclist wanting a filling seafood meal."
00a564fec2,Best Western King George Inn & Suites,Accommodation,Hotel / Motel,Surrey,"Vancouver, Coast and Mountains",49.148798,-122.8462579,info,https://www.bestwestern.com/en_US/book/surrey/hotel-rooms/best-western-king-george-inn-suites/propertyCode.62106.html,"8033 King George Boulevard, Surrey, BC V3W 5B4",Mid-range,Global chain,0,,,w907195526,osm,ChIJS_wx3YjZhVQR8YP_Gz1zG-U,0.0,Best Western-branded hotel... indoor pool available year-round,"A Best Western-branded hotel on Surrey's King George Boulevard, offering standard chain hotel rooms and an indoor pool available year-round. The property is positioned along a major arterial corridor in the Fraser Valley, making it a straightforward base camp for cyclists exploring the Surrey–Langley area. As part of the Best Western Rewards program, it caters to a wide range of travellers including families."
00a9f7aa91,Marine Gateway Liquor Store,Groceries,Liquor Store,Vancouver,"Vancouver, Coast and Mountains",49.2095732,-123.116153,info,https://shop.dublincrossingvancouver.com/,"460 Southwest Marine Drive, Vancouver, V5X 0C4",,Buy BC (independent),0,,,n4639384795,osm,,,,"Marine Gateway Liquor Store is a retail alcohol shop stocking beer, wine, spirits, coolers, and ciders, located within the Marine Gateway mixed-use development in South Vancouver. Operated under the Dublin Crossing brand, it offers local delivery to surrounding neighbourhoods including Oakridge, Point Grey, River District, and Richmond. Cyclists passing through the area could stop for packaged beverages, though no cycling-specific infrastructure is confirmed on-site."
00ad12c8df,velofix,Bike Services,Repair Shop,Squamish,"Vancouver, Coast and Mountains",49.7016,-123.1558,info,https://www.velofix.com,,,Buy BC (independent),1,,,,manual,,,"130+ technicians across North America and over 220,000 completed services","Velofix is a mobile bike shop franchise that dispatches certified technicians directly to wherever a cyclist needs them — home, trailhead, or accommodation. With 130+ technicians across North America and over 220,000 completed services, it covers a wide range of bikes including road, gravel, mountain, commuter, triathlon, tandem, and e-bikes. For touring cyclists in BC, it offers a practical alternative to hauling a bike to a shop, bookable online or by phone."
00af020ca5,The Sutton Place Hotel,Accommodation,Hotel / Motel,Vancouver,"Vancouver, Coast and Mountains",49.282958,-123.124276,info,https://www.suttonplace.com/hotels/sutton-place-hotel-vancouver-van,"845 Burrard Street, Vancouver",Luxury,Buy BC (independent),2,,,n652994289,osm,ChIJafZgg8dzhlQR-hTVpjumrmg,2.6,full-service luxury hotel... Vida Spa... Boulevard Kitchen & Oyster Bar,"The Sutton Place Hotel is a full-service luxury hotel located in downtown Vancouver's Burrard Street corridor, offering room tiers ranging from standard Sutton Rooms to multi-bedroom suites with soaker tubs and wet bars. The property features an indoor heated pool, Vida Spa, a dedicated wine merchant, and the on-site Boulevard Kitchen & Oyster Bar. Touring cyclists would find a full concierge, onsite laundry, and free Wi-Fi throughout the property, though no cycling-specific facilities are advertised."
00b2e3ccd3,Deer Lake Wonton House,Food & Drink,Restaurant,Burnaby,"Vancouver, Coast and Mountains",49.239247,-122.963227,info,https://www.facebook.com/DeerLakeWontonHouse/,5107 Canada Way,Casual,Buy BC (independent),0,,,n5019031083,osm,ChIJaXzZ96Z3hlQRcJ7pptA72s8,0.0,,Deer Lake Wonton House is a Chinese restaurant in North Vancouver offering indoor dining. It provides a casual meal stop for touring cyclists in the area.
00b4f54cd1,Owen Flats 'A',Camping,Public Campground,Barrett,Northern British Columbia,54.2014146,-126.8625352,info,https://www.sitesandtrailsbc.ca/resource/REC0533,"Telkwa, BC V0J 1Z1, Canada",,Provincial rec site,1,,,n3393377757,camping_only,ChIJU8DwNlktdFQRziVePB3ty1A,1.6,"roughly 30 km of active logging road with narrow, rough sections","Owen Flats 'A' is an open roadside site on the Morice River FSR with a gravel boat launch, picnic table, and fire ring—a simple river-access stop near prime steelhead and salmon water. The approach is roughly 30 km of active logging road with narrow, rough sections; a VHF radio for resource-road channels is strongly advised."
00b7caa119,Bowmont Motel,Accommodation,Hotel / Motel,Penticton,Thompson Okanagan,49.5000192,-119.6109733,info,https://www.bowmontmotel.com/,"80 Riverside Drive, Penticton, B.C. V2A 5Y3",Budget,Buy BC (independent),1,,,n9124738547,osm,ChIJ2wE-7mxiglQRUWRWrySHXkM,1.3,"outdoor pool, hot tub, covered BBQ kitchen, guest laundry","Bowmont Motel is a family-oriented motel in Penticton situated steps from Okanagan Lake and directly across from Loco Landing Amusement Park, in the heart of BC wine country. The property features an outdoor pool (described as Penticton's largest motel pool), a hot tub, a covered BBQ kitchen area, and a large grassy courtyard with picnic tables. Room types range from studio queens to multi-bedroom family suites, many with full kitchens."
00b80374da,Papa Murphy's,Food & Drink,Fast Food / Chain,Surrey,"Vancouver, Coast and Mountains",49.1245208,-122.7021725,info,https://www.papamurphys.com,"18789 Fraser Highway, Surrey, V3S 7Y3",Cheap eats,Global chain,,,,n6770904801,chain,,,,
00be88d575,Coquette,Food & Drink,Restaurant,Vancouver,"Vancouver, Coast and Mountains",49.2621248,-123.1532374,welcoming,https://brasseriecoquette.ca/,"2685 Arbutus Street, Vancouver, BC V6J 3Y4",Casual,Buy BC (independent),1,,,n724597034,osm,,,part of a small local restaurant group with two sister establishments in the neighbourhood,"Brasserie Coquette is a Parisian-style brasserie in Vancouver's Kitsilano neighbourhood, celebrating local suppliers alongside traditional French cuisine with seasonal dishes anchored by French classics. The restaurant offers both indoor dining and a patio, hosts regular live jazz and blues music nights, and accommodates private events for groups of 8 to 100. It is part of a small local restaurant group with two sister establishments in the neighbourhood."
00c05d3c9d,Naturally Pacific Resort,Accommodation,Hotel / Motel,Campbell River,Vancouver Island,50.0202422,-125.2673475,info,https://www.naturallypacific.ca/,"700 Petersen Rd, Campbell River, BC V9W 3H7, Canada",Upscale,Buy BC (independent),3,,,w1493538452,osm,ChIJLa2kSwyvYlQRAI2YZRGoXZ0,0.1,Travel + Leisure's 2025 It List … Michelin Guide PLUS hotel … AAA Four Diamond designation,"Naturally Pacific Resort is an award-winning boutique hotel in Campbell River recognized on Travel + Leisure's 2025 It List, as a Michelin Guide PLUS hotel, and holding an AAA Four Diamond designation. It sits at the edge of Vancouver Island's wilderness corridors and offers on-site dining, a luxury spa, golf, and an indoor pool — positioning it as a full-service base for exploring the region's cycling, fishing, and wildlife routes. Dog-friendly rooms and a dedicated dog-washing station add a practical touch for touring cyclists traveling with pets."
00c2a15c14,Best Western Plus Revelstoke,Accommodation,Hotel / Motel,Revelstoke,Kootenay Rockies,51.009944,-118.2196097,info,https://www.bestwestern.com/en_US/book/hotels-in-revelstoke/best-western-plus-revelstoke/propertyCode.62126.html,"1925 Laforme Boulevard, Revelstoke, British Columbia V0E 2S0 Canada",Mid-range,Global chain,1,,,w262123877,osm,ChIJE5mv8SE3eVMRkrtmX1YW1Fo,0.0,well-situated overnight stop for TransCanada touring cyclists,"Best Western Plus Revelstoke sits on Laforme Boulevard and positions itself as an adventure basecamp for visitors to the region, with direct access to the TransCanada Highway corridor and proximity to Revelstoke Mountain Resort and the Revelstoke Highline suspension bridge. The lobby is anchored by a hand-carved grizzly bear, and the property offers complimentary breakfast and free high-speed internet. It is a well-situated overnight stop for TransCanada touring cyclists passing through Revelstoke."
